iter	Passed	Remaining
830	166637	1838622
831	166818	1838206
832	166989	1837686
833	167151	1837061
834	167396	1837349
835	167723	1838537
836	168016	1839345
837	168148	1838392
838	168287	1837522
839	168502	1837474
840	168688	1837123
841	168897	1837013
842	169080	1836624
843	169257	1836161
844	169452	1835902
845	169701	1836226
846	169877	1835758
847	170045	1835206
848	170188	1834383
849	170330	1833552
850	170554	1833608
851	170836	1834281
852	171032	1834034
853	171223	1833737
854	171414	1833431
855	171584	1832905
856	171720	1832021
857	171878	1831362
858	172066	1831041
859	172270	1830869
860	172443	1830379
861	172580	1829508
862	172843	1829975
863	173011	1829432
864	173232	1829450
865	173472	1829675
866	173608	1828793
867	173776	1828253
868	174040	1828730
869	174272	1828862
870	174487	1828811
871	174690	1828644
872	174906	1828603
873	175165	1829020
874	175355	1828706
875	175533	1828269
876	175744	1828184
877	176064	1829229
878	176229	1828657
879	176549	1829696
880	176662	1828583
881	176841	1828164
882	177085	1828417
883	177242	1827758
884	177437	1827505
885	177610	1827020
886	177811	1826825
887	178081	1827338
888	178251	1826823
889	178487	1826990
890	178700	1826912
891	178918	1826896
892	179008	1825567
893	179176	1825034
894	179329	1824356
895	179454	1823386
896	179740	1824059
897	179989	1824343
898	180189	1824145
899	180378	1823824
900	180589	1823729
901	180906	1824713
902	181073	1824170
903	181257	1823807
904	181506	1824085
905	181712	1823944
906	181891	1823530
907	182016	1822568
908	182414	1824348
909	182637	1824366
910	182860	1824392
911	183095	1824531
912	183350	1824873
913	183695	1826105
914	183899	1825931
915	184123	1825957
916	184329	1825808
917	184542	1825729
918	184797	1826055
919	184934	1825225
920	185186	1825522
921	185450	1825941
922	185846	1827661
923	186013	1827116
924	186199	1826767
925	186546	1827990
926	186734	1827660
927	186922	1827324
928	187144	1827327
929	187405	1827707
930	187713	1828541
931	187959	1828777
932	188161	1828572
933	188410	1828831
934	188569	1828221
935	188724	1827559
936	188903	1827141
937	189254	1828384
938	189511	1828718
939	189739	1828766
940	189939	1828550
941	190121	1828151
942	190345	1828163
943	190475	1827269
944	190635	1826672
945	190810	1826213
946	190949	1825415
947	191090	1824632
948	191242	1823960
949	191435	1823677
950	191626	1823377
951	191854	1823428
952	192091	1823557
953	192321	1823626
954	192670	1824825
955	192863	1824540
956	193044	1824137
957	193258	1824053
958	193397	1823263
959	193561	1822704
960	193715	1822058
961	193942	1822087
962	194168	1822120
963	194401	1822209
964	194713	1823042
965	194914	1822830
966	195082	1822318
967	195299	1822255
968	195532	1822346
969	195818	1822929
970	195961	1822183
971	196135	1821720
972	196334	1821490
973	196550	1821423
974	196739	1821098
975	196927	1820771
976	197098	1820286
977	197294	1820030
978	197473	1819618
979	197667	1819351
980	197893	1819368
981	198044	1818702
982	198201	1818089
983	198425	1818092
984	198623	1817862
985	198840	1817801
986	199000	1817213
987	199167	1816698
988	199301	1815878
989	199575	1816336
990	199802	1816369
991	199967	1815833
992	200121	1815197
993	200283	1814641
994	200464	1814250
995	200661	1814009
996	200921	1814339
997	201120	1814114
998	201285	1813582
999	201451	1813062
1000	201590	1812297
1001	201776	1811963
1002	202012	1812074
1003	202184	1811604
1004	202358	1811160
1005	202521	1810615
1006	202728	1810463
1007	202902	1810015
1008	203048	1809323
1009	203216	1808830
1010	203413	1808593
1011	203594	1808210
1012	203800	1808052
1013	204032	1808126
1014	204193	1807561
1015	204403	1807443
1016	204557	1806823
1017	204703	1806137
1018	204908	1805967
1019	205114	1805813
1020	205340	1805829
1021	205512	1805369
1022	205719	1805226
1023	205987	1805606
1024	206143	1805010
1025	206313	1804535
1026	206496	1804177
1027	206737	1804327
1028	206912	1803895
1029	207041	1803071
1030	207376	1804038
1031	207572	1803786
1032	207768	1803544
1033	207933	1803027
1034	208100	1802535
1035	208293	1802260
1036	208529	1802358
1037	208721	1802085
1038	208956	1802176
1039	209124	1801684
1040	209318	1801427
1041	209489	1800963
1042	209699	1800841
1043	209873	1800406
1044	210116	1800566
1045	210281	1800059
1046	210481	1799848
1047	210739	1800133
1048	210883	1799448
1049	211130	1799635
1050	211315	1799300
1051	211549	1799374
1052	211804	1799638
1053	212055	1799856
1054	212214	1799294
1055	212409	1799046
1056	212586	1798635
1057	212899	1799380
1058	213158	1799672
1059	213329	1799211
1060	213488	1798657
1061	213653	1798146
1062	213858	1797984
1063	214018	1797435
1064	214225	1797282
1065	214435	1797152
1066	214696	1797452
1067	214991	1798041
1068	215238	1798215
1069	215371	1797446
1070	215463	1796333
1071	215645	1795974
1072	215963	1796741
1073	216173	1796615
1074	216446	1797012
1075	216759	1797735
1076	217012	1797959
1077	217236	1797944
1078	217547	1798649
1079	217740	1798373
1080	217984	1798525
1081	218234	1798722
1082	218465	1798758
1083	218618	1798161
1084	218894	1798565
1085	219167	1798950
1086	219323	1798371
1087	219481	1797807
1088	219606	1796983
1089	219778	1796536
1090	219965	1796217
1091	220124	1795667
1092	220307	1795318
1093	220489	1794953
1094	220754	1795268
1095	220938	1794925
1096	221098	1794382
1097	221255	1793822
1098	221428	1793388
1099	221696	1793729
1100	221826	1792950
1101	221984	1792394
1102	222279	1792949
1103	222652	1794128
1104	222912	1794396
1105	223113	1794189
1106	223366	1794399
1107	223645	1794813
1108	223962	1795537
1109	224171	1795394
1110	224478	1796033
1111	224807	1796838
1112	225055	1797004
1113	225325	1797341
1114	225519	1797075
1115	225764	1797216
1116	225986	1797169
1117	226201	1797063
1118	226353	1796466
1119	226546	1796187
1120	226790	1796315
1121	226976	1795984
1122	227138	1795467
1123	227332	1795197
1124	227619	1795665
1125	227817	1795428
1126	228029	1795304
1127	228265	1795365
1128	228501	1795425
1129	228746	1795561
1130	228981	1795609
1131	229210	1795619
1132	229424	1795504
1133	229575	1794899
1134	229748	1794470
1135	229991	1794580
1136	230272	1794990
1137	230529	1795212
1138	230700	1794763
1139	230888	1794452
1140	231011	1793625
1141	231306	1794142
1142	231545	1794223
1143	231825	1794622
1144	232085	1794860
1145	232314	1794864
1146	232496	1794500
1147	232698	1794295
1148	232871	1793860
1149	233022	1793259
1150	233188	1792774
1151	233447	1793005
1152	233706	1793235
1153	233875	1792773
1154	234196	1793476
1155	234380	1793130
1156	234696	1793796
1157	234993	1794311
1158	235240	1794441
1159	235570	1795210
1160	235825	1795402
1161	236041	1795293
1162	236213	1794854
1163	236390	1794458
1164	236634	1794563
1165	236833	1794331
1166	237108	1794671
1167	237295	1794344
1168	237447	1793751
1169	237575	1792987
1170	237782	1792814
1171	238001	1792725
1172	238170	1792264
1173	238316	1791636
1174	238558	1791723
1175	238829	1792036
1176	238977	1791415
1177	239150	1790993
1178	239291	1790323
1179	239469	1789934
1180	239685	1789828
1181	240005	1790496
1182	240243	1790552
1183	240486	1790649
1184	240640	1790077
1185	240889	1790220
1186	241088	1789982
1187	241327	1790047
1188	241464	1789357
1189	241730	1789619
1190	241929	1789382
